id,user,contest,place
1388,139,27,80
1389,139,94,129
1390,140,1,140
1391,140,25,42
1392,140,28,39
1393,140,42,78
1394,140,43,167
1395,140,48,66
1396,140,95,51
1397,140,142,42
1398,140,163,58
1399,140,165,116
1400,140,193,131
1401,141,1,141
1402,141,2,132
1403,141,53,142
1404,141,85,91
1405,141,117,152
1406,141,165,116
1407,141,166,84
1408,141,167,77
1409,142,1,142
1410,143,1,142
1411,143,7,21
1412,143,90,72
1413,144,1,144
1414,144,4,26
1415,144,14,55
1416,144,66,134
1417,144,181,114
1418,145,1,145
1419,145,14,54
1420,145,179,198
1421,145,181,53
1422,146,1,146
1423,146,64,36
1424,146,66,176
1425,146,83,128
1426,146,151,66
1427,147,1,147
1428,147,6,7
1429,147,111,18
1430,148,1,148
1431,148,5,123
1432,148,17,79
1433,148,27,104
1434,148,29,129
1435,148,41,28
1436,148,181,57
1437,149,1,149
1438,149,45,16
1439,149,48,178
1440,149,95,63
1441,150,1,149
1442,151,1,149
1443,151,6,192
1444,151,18,190
1445,151,28,170
1446,151,41,130
1447,151,64,120
1448,151,79,20
1449,151,84,86
1450,152,1,152
1451,152,23,48
1452,152,31,53
1453,152,41,77
1454,152,47,161
1455,152,77,174
1456,152,83,124
1457,152,85,153
1458,152,112,97
1459,152,124,165
1460,153,1,153
1461,153,4,21
1462,154,1,153
1463,155,1,155
1464,155,4,175
1465,155,78,131
1466,155,93,168
1467,155,132,131
1468,156,1,155
1469,156,5,191
1470,156,48,84
1471,156,77,194
1472,156,92,64
1473,156,118,68
1474,156,129,87
1475,156,133,68
1476,156,141,98
1477,156,163,118
1478,156,167,136
1479,156,197,140
1480,157,1,157
1481,158,1,157
1482,158,16,195
1483,158,20,185
1484,158,109,191
1485,158,110,26
1486,159,1,159
1487,160,1,160
1488,160,25,15
1489,160,41,178
1490,160,45,112
1491,160,79,70
1492,160,88,79
1493,161,1,161
1494,162,1,162
1495,162,7,177
1496,162,23,145
1497,162,34,56
1498,163,1,163
1499,163,7,108
1500,163,16,196
1501,163,22,146
1502,163,41,98
1503,163,45,191
1504,163,75,188
1505,163,82,192
1506,163,95,19
1507,163,118,104
1508,164,1,164
1509,164,7,102
1510,164,16,187
1511,164,40,47
1512,164,48,76
1513,164,67,43
1514,164,96,51
1515,164,143,124
1516,164,176,28
1517,165,1,165
1518,165,27,118
1519,165,38,59
1520,165,42,55
1521,165,47,112
1522,165,49,98
1523,165,60,20
1524,165,61,45
1525,165,66,50
1526,165,83,92
1527,165,92,104
1528,165,109,46
1529,165,143,53
1530,165,144,47
1531,165,155,148
1532,165,159,77
1533,165,163,64
1534,165,171,123
1535,165,191,62
1536,166,1,166
1537,166,5,182
1538,166,9,166
1539,166,41,146
1540,167,1,167
1541,167,43,156
1542,167,45,82
1543,167,55,142
1544,167,60,51
1545,167,75,76
1546,167,77,152
1547,167,94,147
1548,167,103,108
1549,167,109,28
1550,167,159,195
1551,167,161,199
1552,167,181,121
1553,168,1,168
1554,168,23,106
1555,169,1,168
1556,169,3,54
1557,169,76,20
1558,169,83,64
1559,169,124,160
1560,170,1,170
1561,170,7,196
1562,171,1,170
1563,171,4,16
1564,171,18,22
1565,171,23,96
1566,172,1,172
1567,172,4,169
1568,172,113,22
1569,173,1,173
1570,173,10,83
1571,173,147,179
1572,174,1,174
1573,174,20,30
1574,174,23,189
1575,174,42,128
1576,174,58,182
1577,174,79,3
1578,174,103,188
1579,174,105,67
1580,174,107,185
1581,175,1,175
1582,176,1,176
1583,176,95,115
1584,176,96,173
1585,177,1,177
1586,177,7,62
1587,177,75,80
1588,178,1,178
1589,179,1,178
1590,179,20,175
1591,179,66,61
1592,179,75,93
1593,179,77,135
1594,180,1,180
1595,180,67,188
1596,180,76,113
